name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Base ModSpec,modspec,modspec,,,1,1000,1,,graphics/icons/cargo/modspec2.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.ModSpecItemPlugin,,"Сборник заметок, рекомендаций и практических примеров, которые позволяют адаптировать и применять эту модификацию к различным корпусам.",50
,,,,,,,,,,,,,,,
# industry-slotted items,,,,,,,,,,,,,,,
Поврежденная нанокузница,corrupted_nanoforge,"nanoforge, pather4",Domain Restricted,,50000,1000,1,HIGH,graphics/icons/cargo/nanoforge_corrupted.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Мощный и универсальный производственный ""черный ящик"", способный развиваться в промышленных масштабах, при наличии необходимого сырья и человеческой помощи.

Эта модель пережила лучшие времена и не способен производить бездефектные компоненты. Тем не менее, получение доступа к нанокузнице - это шаг вперед в строительстве звездолетов.",139
Рабочая нанокузница,pristine_nanoforge,"nanoforge, hist3t, pather4",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/nanoforge_pristine.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Мощный и универсальный производственный черный ящик, способный развиваться в промышленных масштабах, при наличии необходимого сырья и человеческой помощи.

Эта модель как новая, по крайней мере, согласно данным диагностики. На практике получение бездефектных компонентов звездолетов все еще является сложной задачей, учитывая общее состояние производства в Секторе, но эта нанокузница настолько хороша, насколько это возможно.",139.1
Ядро синхротрона,synchrotron,"hist3t, pather4",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/synchrotron_core.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,fuelprod,"Специализированная нанокузница, с установленными микропрограммами и нанотехнологиями для создания Синхротрона, позволяющего производить антиматерию в промышленных масштабах.",139.2
Орбитальная Термоядерная Лампа,orbital_fusion_lamp,"hist3t, pather4",Fabrique Orbitale,,150000,1000,1,EXTREME,graphics/icons/cargo/fusion_lamp.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Миниатюрный термоядерный реактор с переменной мощностью, способный обеспечить достаточное количество света и тепла для планеты.

Безопасная эксплуатация требует огромного количества летучих веществ. Если спрос не будет удовлетворен, это может дестабилизировать реактор, что может привести к неконтролируемой производительности. Судебные разбирательства по поводу того, является ли это устройство изначально небезопасным или просто эксплуатируется небезопасно, постоянно продолжались в судах домена до Краха.",135
Гипершунт,coronal_portal,"hist3t, pather8",Domain Restricted,,300000,1000,1,EXTREME,graphics/icons/cargo/hypershunt_tap.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Консоль миниатюрной червоточины, которая может быть активирована для подключения к ближайшему корональному Гипершунту, обеспечивая колонию практически неограниченной мощностью.

Операция требует промышленного количества трансплутоников, которые сначала используются для открытия червоточины, а затем - как только потребляемая энергия становится самоподдерживающейся - расходуются в сложном абляционном процессе, который поддерживает стабильность червоточины. Любое прерывание подачи требует полного отключения устройства.",137
Автономный мантийный бур,mantle_bore,"hist3t, pather4",Eridani-Utopia Terraforming,,80000,1000,1,EXTREME,graphics/icons/cargo/terraforming_bore.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"Хотя считается, что в Секторе не осталось работающих блоков переопределения управления, сам бур способен к автономной - хотя иногда и непредсказуемой - работе. Система защиты, в автоматическом режиме, исключает его использование на обитаемых мирах.",140
Каталитическое ядро,catalytic_core,"hist3t, pather4",Ko Combine,,100000,1000,1,EXTREME,graphics/icons/cargo/catalytic_core.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,refining,"Значительно повышает эффективность операций по очистке, благодаря удивительной физики космоса. Операция требует доступа к вакууму в масштабах, труднодостижимых на планетах со значительным атмосферным давлением.",145
