id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,
# COMBAT,,,,,,,,,,,,,
helmsmanship,Мастерство управления,10,1,0,,"Корабль поет, когда вы правильно нажимаете на пульт управления [гудит]. Все правильно в этом мире, от звезд до ваших костей. Возвращаясь со смены, я как будто только что проснулся. [смеется] Словами этого не передать.","Проект ""Интервью в порту Начикета"", Эп.3",TRUE,,,,graphics/icons/skills/helmsmanship.png,
combat_endurance,Боевая выносливость,20,1,0,,"Четырнадцатый пережил все бедствия. 
Благодаря гегемонии Домен сохраняется. 
Благодаря долгу человечество выстоит.","Адмирал Кали Молина, декларация Гегемонии, c49",TRUE,,,,graphics/icons/skills/combat_endurance3.png,
impact_mitigation,Смягчение последствий,30,2,0,,"Маневр привел к косому углу удара, рассеивая импульс снаряда на аппликацию из ферропены. Это было неудачное время для полученного шока, который привел к трагической гибели Спейсера Йорка во время обычной перевозки тяжелого оборудования.","Стычка в Туле c120.03.08, AAR, представленная Наварчем Чжоу",TRUE,,,,graphics/icons/skills/impact_mitigation.png,
damage_control,Контроль повреждений,40,2,0,,"Прямо из великих кузниц Казерона, этот корабль является самым лучшим в Лиге. И мы будем дорожить этим даром, ибо он стоит между нашими домами и теми, кто хотел бы положить конец нашему образу жизни.","Наварх Тетис, церемония запуска нового Астеленского ключа",TRUE,,,,graphics/icons/skills/damage_control2.png,
field_modulation,Модуляция поля,50,2,0,,Немногие обладают талантом к тому что мне нравится называть 'активной настройкой'. Я нахожу что музыканты являются лучшими полевыми офицерами.,"Ардис Соломан, утечка данных, переданных алгоритму редактирования COMSEC",TRUE,,,active_defenses,graphics/icons/skills/field_modulation.png,
point_defense,Точечная защита,60,3,0,,"Что касается меня, то я не беру с собой лазеры и тому подобное. Конечно, это чертовски яркое световое шоу, но ничто так не останавливает входящие вспышки, как стена тьмы из хорошей вулканской матрицы.","""Герои нижней палубы"", сериал компании HEGCOM",TRUE,,,,graphics/icons/skills/advanced_countermeasures.png,
target_analysis,Анализ цели,70,4,0,,Человеческий разум с помощью машин способен интуитивно находить эффективные решения несмотря на противоречивые данные сенсоров и противоречивые тактические указания. Один только компьютер наведения никогда не сможет по-настоящему заменить воина.,"""О космическом бое XXII-е изд."" из библиотеки Domain Battlegroup XIV ",TRUE,,,,graphics/icons/skills/target_analysis2.png,
ballistic_mastery,Мастер Баллистики,80,4,0,,"Что остановило заговор Tri-Tach? (Орудия!)
Что там забыл старина Ludd? (Орудия!)
Что у нас есть такого, чего нет у них? (Большие, большие пушки!)",Застольная песня флота Гегемонии,TRUE,,,ballistic_weapons,graphics/icons/skills/ranged_specialization.png,
systems_expertise,Системная экспертиза,90,5,4,2,"Нет, я не думаю, что это противоречие. Это, э-э, духовное путешествие. Тебя проверяют. И, как говорится, дьявол кроется в деталях.","""Пехотинцы Ludd"" голодок, интервью с инженером Патером",TRUE,,,,graphics/icons/skills/systems_expertise.png,
missile_specialization,Ракетная специализация,100,5,4,2,Мои коллеги не ценят их причуд. Вы получаете все эти маленькие космические корабли чтобы нарушать все правила потому что нет необходимости выживать после достижения цели.,"Выездное интервью К. Астрайи бывшего конструктора боеприпасов Culann Starforge",TRUE,,,missile_weapons,graphics/icons/skills/missile_specialization2.png,
,,,,,,,,,,,,,
# LEADERSHIP,,,,,,,,,,,,,
tactical_drills,Тактические учения,500,1,0,,"Идеально.
Теперь сделай это снова.","Камерон Четвертый - Фобос, Артиллерийский полигон Коатл",,TRUE,,,graphics/icons/skills/weapon_drills.png,
coordinated_maneuvers,Скоординированные Маневры,520,2,0,,"Сэр, приближается враг на большой скорости. Большой. Возможно два. Нет, три. Больше... их слишком много! Считывается огромная энергия. Контакт, шесть.","Аудиоархив из CIC HSS Ceraon, восстановленный 189.09.13",,TRUE,,,graphics/icons/skills/coordinated_maneuvers2.png,
wolfpack_tactics,Тактика Волчьей стаи,530,2,0,,"Флот, действующий единодушно, делает эти красивые формирования, столь любимые старшими офицерами, словно задыхающийся зверь, умоляющий перерезать ему горло. Отпусти собак и мы сможем стать волками.","Военачальник Канта, цитируемый в ""Мой год с Королевой Пиратов""",,TRUE,,,graphics/icons/skills/wolfpack.png,
crew_training,Обучение экипажа,540,2,0,,"Я знаю твой типаж. Молоко на губах не обсохло, подписал контракт, все - готов к игре в космонавта. Насмотрелся слишком много голограмм военной пропаганды Гегемонии, не так ли? Поймите это сейчас: смелость - это не компетентность. Игра в героя приведет к тому, что нас всех убьют. Тщательная, осознанная работа - это то, что позволяет выполнить работу.","Чайя Мимамса, летное подразделение Tri-Tanchyon, введение в профессиональную подготовку",,TRUE,,,graphics/icons/skills/crew_training.png,
fighter_uplink,Управление Истребителями,1050,3,0,,"Истребители - войны, вокруг которых ходят легенды, но они всего лишь наконечник копья, которым командую я один.","Коммодор Йенсульте военного флота Гегемонии, ~c82",,TRUE,,,graphics/icons/skills/fighter_uplink2.png,
carrier_group,Группа перевозчиков,550,3,0,,"Статистика говорит нам, что они превратятся в пыль от зенитного огня, даже не пережив полдюжины миссий, но мы все равно хотим быть ими. Когда они находятся в кабине пилота, они единственные во флоте, кто полностью контролирует свою судьбу.","Проект Интервью в порту Начикета, Эп.4",,TRUE,,,graphics/icons/skills/carrier_command.png,
officer_training,Подготовка офицеров,560,4,3,,"Они могут быть ""бандой торговцев, контрабандистов и пиратов"", но если вы дадите им что-то, за что можно сражаться, я думаю, они могут вас удивить.","Navarch Nurul Park, об интеграции циболанского флота",,TRUE,,,graphics/icons/skills/officer_training.png,
officer_management,Управление офицерами,570,4,3,,"Перспективы были мрачными, поэтому я пообещал капитанам наемников двойной боевой бонус. Со всеми потерями мне пришлось заплатить только половине из них, так что все прошло просто отлично.","Carson Kang, директор подразделения флота Валгаллы, Tri-Tachyon",,TRUE,,,graphics/icons/skills/officer_management.png,
best_of_the_best,Лучшие из лучших,580,5,4,2,"То, что у нас есть, Артемизия, это то, что нельзя купить.",Оркус Рао на переговорах завершающих Вторую войну ИИ (апокрифический),,TRUE,,,graphics/icons/skills/best_of_the_best.png,
support_doctrine,Доктрина поддержки,590,5,4,2,"Не у каждого кадета есть талант, навыки или даже две клетки мозга, которые можно объединить, но, клянусь адом и радиацией, они закончат школу с дисциплиной.","неподтвержденный комментарий сотрудников Академии Coatl, архив COMSEC",,TRUE,,,graphics/icons/skills/space_ops.png,
force_concentration,Концентрация силы,590,5,4,2,Когда я одержу победу в выбранное мной время и в выбранном месте история освободит меня от необходимости пожертвовать одной или двумя планетами.,"Адмирал флота Андрада обращение к исполнительному совету Гегемонии ",,TRUE,,"npc_only, deprecated",graphics/icons/skills/space_ops.png,
,,,,,,,,,,,,,
# TECHNOLOGY,,,,,,,,,,,,,
navigation,Навигация,1000,1,0,0,Проведите здесь достаточно времени и это станет второй натурой. Это как двигаться среди грез. Не все из нас понимают как это. Но многие просто делают.,"Проект Интервью в порту Начикета Эп.2",,,,,graphics/icons/skills/navigation.png,
sensors,Сенсоры,1010,1,0,0,"Я вижу тебя, маленькая рыбка!","Переписка ISS Green Flash, найденная на орбите Beta Zuma B",,,,,graphics/icons/skills/sensors.png,
gunnery_implants,Артиллерийские имплантаты,1020,2,1,0,Со временем дополненную реальность представленную имплантатами может стать трудно отличить от обычного сенсорного ввода. Офицер-психолог должен регулярно проверять стрелков на наличие признаков Диссоциативного расстройства Усиления по следующим критериям..., Новая структура руководства: Руководство для офицеров Гегемонии,TRUE,,,,graphics/icons/skills/gunnery_implants.png,
